,Q1,Q2,Q3,Q4,TOT,,,,,,
1991,68131,40261,9412,11214,129018,,,,,,
1992,23134,19465,5575,10938,59112,,,,,,
1993,19907,7668,20790,7790,56155,,,,,,
1994,49307,33895,7529,19252,109983,,,,,,
1995,39177,29072,8520,39074,115843,,,,,,
1996,48926,43033,13363,31467,136789,,,,,,
1997,30917,31749,13699,22887,99252,,,,,,
1998,17001,21156,11911,24872,74940,,,,,,
1999,30872,28060,7211,15510,81653,,,,,,
2000,34712,32522,12568,23031,102833,,,,,,
2001,28874,42981,11802,18744,102401,,,,,,
2002,22073,23761,9637,19353,74824,,,,,,
2003,28823,17355,10669,21245,78092,,,,,,
2004,23975,24367,8558,18376,75276,,,,,,
2005,18671,11355,7107,27362,64495,,,,,,
2006,26071,30173,3969,16872,77085,,,,,,
2007,24488,28439,2262,9467,64656,,,,,,
2008,18304,24522,3259,9493,55578,,,,,,
2009,21182,22756,3764,12810,60512,,,,,,
2010,21161,20395,3272,15573,60401,,,,,,
2011,18002,24705,5248,14290,62245,,,,,,
2012,25109,20474,3699,17743,67025,,,,,,
2013,14830,14321,2844,10981,42976,,,,,,
2014,11935,17186,4514,11654,45289,,,,,,
2015,13698,20765,3234,12312,50009,,,,,,
2016,10968,15088,3365,7995,37416,,,,,,
2017,9281,10930,3599,7143,30953,,,,,,
