"length" "corr"
"[9,10)" 9 3.02452865823017e-05
"[10,11)" 10 0.000137632100531938
"[11,12)" 11 0.000483382316394659
"[12,13)" 12 0.00134589329752819
"[13,14)" 13 0.00305154106517716
"[14,15)" 14 0.00578703872735842
"[15,16)" 15 0.00942892118344097
"[16,17)" 16 0.0135573851531689
"[17,18)" 17 0.0176700606368694
"[18,19)" 18 0.0214431304528377
"[19,20)" 19 0.0248866387007296
"[20,21)" 20 0.0283734450620963
"[21,22)" 21 0.0326285144623925
"[22,23)" 22 0.0383650358216123
"[23,24)" 23 0.0460407564617445
"[24,25)" 24 0.0562386014085675
"[25,26)" 25 0.0697314143804656
"[26,27)" 26 0.0875267939380344
"[27,28)" 27 0.110914629849021
"[28,29)" 28 0.14151047775866
"[29,30)" 29 0.181282963676457
"[30,31)" 30 0.232546979561805
"[31,32)" 31 0.297897193258768
"[32,33)" 32 0.38005005552826
"[33,34)" 33 0.481654721234927
"[34,35)" 34 0.605591328013126
"[35,36)" 35 0.754746295582693
"[36,37)" 36 0.931598877333391
"[37,38)" 37 1.13787001644032
"[38,39)" 38 1.37410901412142
"[39,40)" 39 1.63924424749768
"[40,41)" 40 1.93014172751489
"[41,42)" 41 2.24123238933124
"[42,43)" 42 2.5642823679512
"[43,44)" 43 2.88838562572156
"[44,45)" 44 3.20027957637832
"[45,46)" 45 3.48770760932982
"[46,47)" 46 3.74362054793859
"[47,48)" 47 3.96355496015661
"[48,49)" 48 4.14534766399956
"[49,50)" 49 4.28905635634751
"[50,51)" 50 4.3967215997485
"[51,52)" 51 4.47202586849875
"[52,53)" 52 4.51990677337366
"[53,54)" 53 4.54617533860763
"[54,55)" 54 4.55717939253595
"[55,56)" 55 4.55953979775474
"[56,57)" 56 4.55956664178462
"[57,58)" 57 4.5595672096426
"[58,59)" 58 4.55956769778636
"[59,60)" 59 4.55956811378946
"[60,61)" 60 4.55956846522562
"[61,62)" 61 4.55956875966835
"[62,63)" 62 4.5595690046913
"[63,64)" 63 4.55956920786809
"[64,65)" 64 4.55956937677238
"[65,66)" 65 4.55956951897765
"[66,67)" 66 4.55956964205775
"[67,68)" 67 4.55956975358268
"[68,69)" 68 4.55956985935699
"[69,70)" 69 4.55956996055202
"[70,71)" 70 4.55957005758836
"[71,72)" 71 4.55957015088668
"[72,73)" 72 4.55957024086758
"[73,74)" 73 4.55957032795165
"[74,75)" 74 4.55957041255952
"[75,76)" 75 4.55957049511182
"[76,77)" 76 4.5595705760291
"[77,78)" 77 4.55957065573201
"[78,79)" 78 4.55957073464112
"[79,80)" 79 4.55957081316483
"[80,81)" 80 4.55957089150493
"[81,82)" 81 4.55957096969191
"[82,83)" 82 4.55957104775108
"[83,84)" 83 4.55957112570775
"[84,85)" 84 4.55957120358723
"[85,86)" 85 4.55957128141482
"[86,87)" 86 4.55957135921587
"[87,88)" 87 4.55957143701558
"[88,89)" 88 4.5595715148394
"[89,90)" 89 4.55957159271249
"[90,91)" 90 4.55957167066027
