Year,SSB (1000 to) from AEP incl. eastern areas,Month,,,,,,
1986,21.6,5.0,,,,,,
1987,20.0,5.1,,,,,,
1988,22.9,4.7,,,,,,
1989,28.5,5.5,,,,,,
1990,19.9,5.7,,,,,,
1991,20.9,5.5,,,,,,
1992,21.8,5.9,,,,,,
1993,36.9,5.8,,,,,,
1994,94.7,6.1,,,,,,
1995,76.8,6.6,,,,,,
1996,36.0,6.8,,,,,,
1997,66.4,5.5,,,,,,
1998,16.1,7.0,,,,,,
1999,13.5,6.8,,,,,,
2000,8.9,6.6,,,,,,
2001,12.1,6.8,,,,,,
2002,21.6,6.6,,,,,,
2003,17.9,6.2,,,,,,
2004,23.5,6.5,,,,,,
2005,43.5,6.8,,,,,,
2006,56.1,6.2,,,,,,
2007,68.0,6.5,,,,,,
2008,89.0,6.4,,,,,,
2009,99.0,5.9,,,,,,
2010,79.3,6.0,,,,,,
2011,58.6,6.5,,,,,,
2012,43.5,6.4,,,,,,
2013,26.3,6.6,,,,,,
2014,47.5,6.1,,,,,,
2015,48.7,5.9,,,,,,
2016,35.5,6.1,,,,,,
2017,36.2,6.1,,,,,,
